Pack ID,Archetype ID,Space Kind,Operator Job,Provider Name,Incumbent Provider Name,Official Source URL,Accessed On,Recheck On,Information Hierarchy,Spatial Grammar,State Vocabulary,Conflict Behavior,Accessibility Alternative,DPF Decision,DPF Rationale
restaurant-floor,restaurant,floor,seat-party,Toast,Toast,https://support.toasttab.com/en/article/Using-Toast-Tables-Waitlist?lang=en_US,2026-07-28,2027-01-28,"Live floor first; waiting parties at left; server roster and cover counts in context","Dining areas contain positioned tables with capacity; drag or select a party to seat; assigned-server color and turn-time border stay on the table","Available; Seated; Ordered; Paid; Dirty; Blocked","Overlapping reservations turn red; unavailable servers require an explicit swap before seating","Sortable table list with table, capacity, status, server, elapsed turn time, and compatible waiting parties",adapt,"Adopt the live state and one-action seating grammar; adapt away from color-only status and long-press-only interaction"
restaurant-floor,restaurant,floor,seat-party,OpenTable,OpenTable,https://www.opentable.com/restaurant-solutions/products/table-management/,2026-07-28,2027-01-28,"Floor plan and waitlist are the shift command surface; shift overview and turn-time reporting remain secondary","Custom floor plan with flexible table inventory, table types, server sections, and recommended assignments","Available inventory; assigned; seated; POS-derived table status; waiting; notified","Recommendations expose compatible tables while inventory and pacing controls prevent overbooking","List of tables and parties with capacity, area, server section, status, quote, and recommendation reason",adapt,"Adopt fast host-stand hierarchy and assignment recommendations; preserve operator confirmation and explain constraints"
salon-chair-book,hair-salon,chair-book,assign-provider,Fresha,,https://www.fresha.com/for-business/features/scheduling,2026-07-28,2027-01-28,"Day calendar first; team members and resources form lanes; waitlist and gaps stay adjacent","Time grid crosses staff and bookable resources such as chairs or rooms; appointments reserve service duration and buffers","Available; booked; blocked time; waiting; notified; in service; complete","Staff skill, availability, resource, duration, and group alignment prevent overlap and double-booking","Agenda table grouped by provider with time, client, service, resource, status, gap, and conflict reason",adapt,"Adopt provider-resource joint availability and intelligent gap filling; make chairs explicit resources and never rely on calendar position alone"
salon-chair-book,hair-salon,chair-book,assign-provider,Mangomint,,https://www.mangomint.com/blog/resource-scheduling/,2026-08-02,2027-02-02,"Staff appointments and resource availability stay together on the calendar; rooms, chairs, beds, and machines expose who is using them and when","Staff and resource columns cross time; filters and drag-and-drop move an appointment to an available named resource while resource groups model interchangeable capacity","Available; scheduled; in use; unavailable; staff assigned; resource assigned","Provider availability, service duration, required resource, group quantity, and resource availability constrain placement; allocation prevents double-booking and can select a compatible resource automatically","Agenda and resource table with staff, named resource or group, time, service, availability, assignment, and conflict reason, plus keyboard reassignment and confirmation",adapt,"Adopt the joint provider-and-physical-resource schedule and allocation assistance; preserve an explicit assigned chair or resource and an accessible list instead of relying on column position"
hotel-room-occupancy,independent-hotel,room-occupancy,assign-room,Cloudbeds,,https://myfrontdesk.cloudbeds.com/hc/en-us/articles/48389981165083-Managing-Housekeeping-and-Room-Status-from-the-New-Calendar,2026-08-02,2027-02-02,"Date occupancy summary first; room rows and reservation bars below; room condition, assigned housekeeper, maintenance needs, and unassigned accommodations remain visible in the shared calendar","Rooms form rows across a date grid; reservation bars span stays; room and housekeeping state can be changed in place; search and filters preserve high-volume rack use","In-House; Confirmed; Checked Out; Dirty; Clean; Inspected; Out of Service; Maintenance Needed; Assigned Housekeeper; Unassigned Accommodation","Reservation assignment remains distinct from housekeeping condition; unavailable inventory, maintenance needs, room type, stay overlap, and readiness constrain placement","Room operations table by date with room, reservation, arrival, departure, occupancy, housekeeping condition, housekeeper, maintenance need, and assignment state",adapt,"Adopt the shared occupancy-and-housekeeping rack and explicit unassigned demand; preserve separate occupancy and condition fields, and pair every icon/color with text"
hotel-room-occupancy,independent-hotel,room-occupancy,assign-room,Oracle OPERA Cloud,,https://docs.oracle.com/en/industries/hospitality/opera-cloud/26.1/ocsuh/t_managing_reservations_assigning_rooms_to_a_reservation.htm,2026-08-02,2027-02-02,"Reservation and arrival context lead; room assignment exposes matching inventory, room status, and housekeeping readiness before confirmation","Room inventory is filtered by stay dates, room type, features, and operational status; attendants and housekeeping tasks remain linked to the physical room","Vacant clean; vacant dirty; occupied clean; occupied dirty; inspected; pickup; out of order; out of service; assigned; unassigned","Stay overlap, room type or feature mismatch, out-of-order inventory, housekeeping readiness, and assignment locks block or warn before confirmation","Room assignment and housekeeping tables with room, type, stay dates, occupancy, housekeeping state, attendant, service task, restriction, and assignment action",adapt,"Adopt joint reservation-room-housekeeping context and explicit readiness gates; keep guest-sensitive detail out of the shared spatial overview and require confirmation for reassignment"
hotel-room-occupancy,independent-hotel,room-occupancy,assign-room,Mews,,https://help.mews.com/s/article/The-Timeline-An-overview,2026-08-02,2027-02-02,"Date, space type, and space number lead; reservation bars combine with occupancy, housekeeping, maintenance, and assignment state in one operational timeline","Rooms form rows grouped by type and number across time; reservation bars, filters, drag-and-drop, and locked assignments support allocation while text labels accompany status color","Available; occupied; dirty; clean; inspected; out of order; out of service; assigned; unassigned; locked; overbooked","Stay overlap, room type, out-of-order or out-of-service inventory, housekeeping readiness, and locked reservations constrain moves; optimization previews alternatives before applying them","Room timeline table by date and space with reservation span, occupancy, housekeeping state, maintenance restriction, assignment, lock, and conflict text, with keyboard assignment",adapt,"Adopt the room rack and preview-before-apply allocation grammar; preserve explicit housekeeping and restriction labels, and exclude guest-sensitive detail from the shared overview"
equipment-rental-yard,equipment-rental,rental-yard,reserve-asset,Booqable,,https://booqable.com/features/,2026-07-28,2027-01-28,"Availability and location first; upcoming pickup/return fulfillment next; maintenance and performance remain visible","Trackable units or bulk stock are grouped by product and location with a date-range availability horizon; barcode handoff changes custody","Available; reserved; picked; rented out; awaiting return; returned; downtime; maintenance","Real-time availability prevents overbooking; buffers and downtime block unsafe adjacency; multi-location stock is separate","Inventory table with unit or quantity, product, location, availability range, custody state, next pickup/return, downtime, and conflict",adapt,"Adopt unit identity, location, date-range availability, buffers, and downtime; add a spatial yard lens only where a business maintains meaningful bays"
equipment-rental-yard,equipment-rental,rental-yard,reserve-asset,Rentman,,https://rentman.io/solutions/inventory-management,2026-08-02,2027-02-02,"Equipment availability, serialized identity, and current location lead; upcoming movements, shortages, subrentals, repairs, and loss remain visible before fulfillment","A time horizon relates equipment or groups to projects and stock locations; QR, barcode, and serial scans record warehouse handoffs and movement across locations, people, and teams","Available; reserved; packed; collected; checked out; in transit; returned; repair; lost; subrented; shortage","Quantity or serial availability across time and location, kit dependencies, repair or loss, and project demand expose shortages and drive alternative or subrental resolution","Searchable inventory table with product, quantity or serial, stock location, custody, state, next booking, shortage, repair, and movement history, with keyboard workflows",adapt,"Adopt identity plus availability timeline plus location and movement as one operational model; expose shortage resolution and never depend on scan state or color alone"
hoa-property-priorities,homeowners-association,property-portfolio,prioritize-work,AppFolio,AppFolio,https://www.appfolio.com/markets/hoa/management,2026-07-28,2027-01-28,"Portfolio and association context first; maintenance and architectural requests flow into tracked work with board visibility","Community and property locations anchor requests; work orders connect location, resident or common area, vendor, approvals, notes, and evidence","Submitted; triaged; assigned; scheduled; in progress; awaiting approval; complete; closed","Priority, due date, board/vendor approval, access, budget, and duplicate-location work constrain action","Priority work table grouped by association/property with location, request, impact, due date, owner, vendor, approval, status, and next action",adapt,"Adopt the property-linked system of record and mobile field evidence; elevate current priorities and blocked next actions above generic portfolio maps"
