number,title,createdAt,mergedAt,additions,deletions,changedFiles,url
"5053","feat(mcp): add durable one-shot task inference","2026-09-04T21:04:26Z","2026-09-04T21:53:55Z","5277","220","44","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5053"
"5052","fix(review): require complete immutable traversal","2026-09-04T19:47:30Z","2026-09-04T21:25:30Z","354","50","5","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5052"
"5051","feat: add async delivery task hub","2026-09-04T18:52:26Z","2026-09-04T19:42:06Z","3835","192","47","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5051"
"5050","fix(flow): harden adversarial control-plane recovery","2026-09-04T18:45:55Z","2026-09-04T19:09:18Z","1091","1","13","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5050"
"5049","fix(readiness): harden closed work-type profiles","2026-09-04T18:23:17Z","2026-09-04T18:46:11Z","174","73","6","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5049"
"5048","fix(readiness): preserve baseline artifact commit","2026-09-04T17:52:57Z","2026-09-04T18:16:22Z","41","6","4","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5048"
"5047","fix(governance): preserve external reviewer token scope","2026-09-04T13:21:41Z","2026-09-04T13:43:57Z","40","4","7","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5047"
"5046","feat(inference): add durable async operation lifecycle","2026-09-04T12:58:25Z","2026-09-04T13:50:15Z","6397","184","59","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5046"
"5045","fix(inference): preserve typed async operation handles","2026-09-04T11:19:16Z","2026-09-04T11:48:56Z","1012","121","16","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5045"
"5044","feat(housing): operate canonical animal occupancy","2026-09-04T11:06:45Z","2026-09-04T12:39:34Z","2729","97","32","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5044"
"5043","feat(rescue): add tenant-safe operating workspace","2026-09-04T10:37:15Z","2026-09-04T11:43:18Z","6173","1616","71","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5043"
"5042","fix(ci): tolerate bounded request-surface misses","2026-09-04T09:18:18Z","2026-09-04T09:44:00Z","239","10","4","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5042"
"5041","fix(governance): let tier-one reviewer write receipt","2026-09-04T08:52:38Z","2026-09-04T10:01:45Z","34","1","3","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5041"
"5040","fix(ux): catch copy drift and recalibrate tax baseline","2026-09-04T08:33:23Z","2026-09-04T09:14:52Z","218","4","5","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5040"
"5039","fix: isolate initiative-readiness provider transport","2026-09-04T07:14:31Z","2026-09-04T11:43:18Z","775","90","17","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5039"
"5038","docs(async): define durable MCP operation resume contract","2026-09-04T05:31:27Z","2026-09-04T09:48:47Z","185","0","2","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5038"
"5037","fix(attention): align coworker briefing with owner queue","2026-09-04T05:15:54Z","2026-09-04T05:43:44Z","274","1","4","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5037"
"5036","fix: resume approved terminal writer projections","2026-09-04T04:43:20Z","2026-09-04T10:23:03Z","309","4","7","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5036"
"5035","fix: classify all closed backlog work types","2026-09-04T04:43:13Z","2026-09-04T05:19:31Z","173","2","4","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5035"
"5034","fix: complete bound initiative review","2026-09-04T03:51:27Z","2026-09-04T04:18:21Z","86","2","5","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5034"
"5033","fix: resume exact terminal writer waits","2026-09-04T03:41:48Z","2026-09-04T04:15:45Z","531","12","4","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5033"
"5032","docs: add T3 Code source delta review","2026-09-04T02:47:07Z","2026-09-04T03:26:01Z","439","3","2","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5032"
"5031","docs: define local-first agentic delivery throughput","2026-09-04T00:52:46Z","2026-09-04T01:57:08Z","397","1","7","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5031"
"5030","fix(ai): make provider trust attention workload-relevant","2026-09-03T21:04:25Z","2026-09-03T21:31:27Z","777","78","17","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5030"
"5029","fix(delivery): park quiescent gates without polling (BI-7C1F43E3)","2026-09-03T21:00:56Z","2026-09-03T21:38:35Z","230","74","11","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5029"
"5028","fix(pet-rescue): remove final commercial cockpit copy","2026-09-03T07:38:00Z","2026-09-03T08:22:51Z","80","13","12","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5028"
"5027","fix(readiness): preserve terminal read decisions","2026-09-03T06:43:08Z","2026-09-03T07:13:32Z","320","4","5","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5027"
"5026","fix(pet-rescue): finish cockpit vocabulary reach","2026-09-03T06:29:07Z","2026-09-03T06:56:16Z","133","23","14","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5026"
